,별점,리뷰,추천 수,비추천 수
171,10,"김혜수,유아인 연기는 갑이다. 지금 경제상황이 IMF를 떠올리게 해서 씁쓸하다. ",78,51
172,10,스토리도 탄탄하고 연기력도 좋아서 오랜만에 푹 빠져서 본 영화네요 ,41,15
173,10,정말 돈 더 주고 봐야할 영화!!!IMF세대가 아니어서 알지못했던 정말 그때를 너무 잘 알려주셔서 감사합니다.눈물도 많이 흘렸네요 정말ㅠㅠ 꼭보세요!! ,43,17
174,10,진짜 쩐다 꼭봐야하는 영화 ,43,17
175,1,세상을 한 쪽 눈을 감고 바라보지 말자 ,36,11
176,9,관람객답답하고 화나고 슬프지만 우리의 현실을 잘 보여준듯 하네요 ,41,16
177,1,아무리 정권 입맛에 영화만든다해도 너무하네 ㅋㅋ현 정부 경제망치는걸 마치 imf 부작용으로 마무리 짓네? 역사왜곡에 감성팔이..90년대 생이지만 알건 다아는데 국민 개돼지로 보고 영화 만들지 말죠. 그리고 좋은 배우...,45,20
178,10,관람객'대우가 위험하답니다' 소름 ... ,26,2
179,10,진짜 김혜수님 연기 하나로 만점 영화ㅠㅠㅠㅠ 너무 좋아요 ,46,22
180,10,배우들도 연기좋았습니다 ,36,14
181,10,긴말 필요없다.꼭 보세요 ,45,23
182,10,한순간도 놓칠 수 없는 최고의 영화 ,46,24
183,10,역시 김혜수 원톱영화ㅠㅠ ,49,27
184,10,처음 글쓰네요 엄마랑 같이 봤는데 시간가는줄 몰랐데요 제가 중학교시절인 imf 과거로 돌아간듯했어요 배우들 모두 명품연기로 몰입최고 특히 유아인씨연기도 좋았고 김혜수씨 카리스마와 영어실력 멋졌어요 ,59,37
185,10,유아인의 절대 안속아...라는 대사와 허준호의 아무도 믿지마..라는 대사가 기억에 남는다. 극소수의 갑이 쥐고 흔드는 세상 속에 그냥 나머지들은 꼭두각시일 수 밖에 없다는 생각에 서글프다... ,24,3
